target,fighter_A_stance_Orthodox,fighter_A_stance_Southpaw,fighter_A_stance_Switch,fighter_B_stance_Orthodox,fighter_B_stance_Southpaw,fighter_B_stance_Switch,is_title_fight_True,is_male_fight_True,weight_class_featherweight,weight_class_flyweight,weight_class_heavyweight,weight_class_light_heavyweight,weight_class_lightweight,weight_class_middleweight,weight_class_strawweight,weight_class_welterweight,diff_wins,diff_losses,diff_fight_age,diff_height_inches,diff_reach_inches,diff_knockdowns,diff_significant_strikes_landed,diff_significant_strikes_thrown,diff_total_strikes_landed,diff_total_strikes_thrown,diff_takedowns_landed,diff_takedowns_thrown,diff_head_strikes_landed,diff_head_strikes_thrown,diff_body_strikes_landed,diff_body_strikes_thrown,diff_leg_strikes_landed,diff_leg_strikes_thrown,diff_distance_strikes_landed,diff_distance_strikes_thrown,diff_clinch_strikes_landed,diff_clinch_strikes_thrown,diff_ground_strikes_landed,diff_ground_strikes_thrown,diff_strike_accuracy,diff_sig_strike_accuracy,diff_takedown_accuracy,diff_head_strike_ratio,diff_body_strike_ratio,diff_leg_strike_ratio,diff_fight_duration,diff_win_rate,diff_knockdown_percentage,diff_ko_rate,diff_submission_rate,diff_finish_rate
1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10,8,4,-9.0,-4,0,8,-9,14,-5,3,1,-3,-23,3,3,8,11,3,-12,-3,-3,8,6,0.15568316470695476,-0.025816573955213196,0.46153846153846156,-0.31330645161290327,-0.1193548387096774,-0.04677419354838709,1.2,0.4,0.0,-0.2,-0.2,-0.8
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,20,9,-4,3.0,2,0,3,0,-40,-57,-3,-5,3,0,-2,-2,2,2,-2,11,6,6,-1,-17,0.015915664364400728,0.04075485730222178,0.033333333333333326,-0.025686813186813207,0.025228937728937723,0.062362637362637356,0.6666666666666665,-0.04761904761904767,-0.007326007326007326,-0.14285714285714285,-0.14285714285714285,-0.380952380952381
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,10,12,-6,6.0,5,0,-13,0,15,25,-6,-14,-10,5,-2,-3,-1,-2,-8,13,10,16,-15,-29,0.05154170723790974,-0.003937007874015741,0.0625,-0.09934049955860208,-0.032663447058212586,0.021083242457288265,-0.75,-0.09999999999999998,0.007633587786259542,0.55,0.55,0.4
1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-15,-11,7,-1.0,-4,1,18,18,25,27,3,3,16,16,0,0,2,2,5,-3,0,-5,13,26,-0.03352017937219731,0.052270011947431305,0.46875,0.13525550867323016,-0.036568213783403664,0.06985466479137364,-1.3333333333333335,0.33333333333333337,0.03492733239568682,0.8333333333333334,0.8333333333333334,0.33333333333333337
1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,15,-1,-13,2.0,2,2,-15,-7,68,89,0,-1,-19,-12,4,6,0,-1,0,13,-9,-11,-6,-9,-0.2960254454916377,-0.23432083202017023,-0.15833333333333333,0.15531937469052842,0.04725189219777888,-0.016835255004597864,-0.6060606060606064,-0.33333333333333337,-0.001184834123222749,-0.4848484848484849,-0.4848484848484849,-0.33333333333333337
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-11,-5,-1,2.0,1,0,21,7,18,3,0,-4,-2,-17,2,7,21,17,15,-2,5,8,1,1,0.12877583465818765,0.15786536449250083,-0.4,-0.14285714285714285,0.1142857142857143,0.12142857142857144,1.6666666666666665,-0.33333333333333337,-0.014285714285714284,-0.16666666666666669,-0.16666666666666669,-0.6666666666666667
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-7,-8,1,1.0,-2,-1,-1,1,-1,1,0,0,-1,0,0,0,0,1,-1,1,0,0,0,0,0.10185460479805497,-0.0032860343539955483,-0.38076923076923075,-0.2413211301233586,-0.08256267409470752,-0.133274970155193,-0.7749999999999999,0.25,-0.019498607242339833,-0.375,-0.375,0.5
1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-4,-1,-9,0.0,-4,1,31,59,13,42,-2,-14,28,55,1,1,2,3,29,57,-1,-3,3,5,0.017543859649122806,0.1285403050108932,-0.1,0.4422077922077922,-0.05909090909090909,-0.02727272727272727,-1.2000000000000002,0.6,0.06688311688311688,0.8,0.8,0.6
0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-2,5,7,0.0,2,-1,-2,9,-2,9,0,0,-3,8,1,1,0,0,1,12,0,0,-3,-3,-0.12509303561935142,-0.10296876101826391,0.02777777777777779,-0.012993724621631564,-0.07748246585455887,0.16729420450350682,1.05,-0.30000000000000004,-0.0032853451458102617,-0.625,-0.625,-0.625
1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-12,-2,-5,3.0,6,0,2,12,-11,-4,0,-16,7,17,1,2,-6,-7,8,31,-6,-19,0,0,-0.4248672289909403,-0.20067283431455002,-0.5555555555555556,0.2894362342638204,0.0742200328407225,0.2791461412151067,0.5,0.0,0.0,-0.5,-0.5,-0.5
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,-2,6,-1.0,-2,-1,-8,-8,-8,-8,0,0,-7,-7,-1,-2,0,1,-2,-2,0,0,-6,-6,0.10121012101210114,0.13759141757765714,0.12318840579710144,0.08646779074794636,0.007380643567413997,-0.03097399790006794,-0.9538461538461538,-0.29230769230769227,0.0020999320610215547,0.09230769230769231,0.09230769230769231,0.46153846153846156
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,8,9,10,0.0,3,-1,-56,-78,-60,-82,0,0,-33,-49,-6,-9,-17,-20,-42,-52,-1,0,-13,-26,0.14546668025891496,0.017646083713220073,-0.06759906759906764,-0.12058473410914763,-0.13049791679494283,-0.04163844590850317,0.25,-0.19444444444444442,0.006711409395973154,0.2222222222222222,0.2222222222222222,0.20833333333333331
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-14,-2,-10,2.0,4,0,48,108,59,119,0,-1,15,67,34,42,-1,-1,36,92,12,16,0,0,0.024599165385460142,0.1824451410658307,-1.0,0.34290271132376393,0.056884635832004246,0.07496012759170653,-0.5,0.5,0.13769271664008506,0.25,0.25,0.25
1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,14,4,-4,-1.0,0,0,25,-7,51,20,2,11,5,-31,2,3,18,21,20,-25,1,3,4,15,-0.026081527071626087,-0.12932588320115357,0.17142857142857137,-0.18390804597701155,-0.025600835945663536,-0.16536050156739812,1.0,-0.6666666666666666,-0.008620689655172414,0.16666666666666669,0.16666666666666669,-0.16666666666666663
